Date,Home_Win,Home,Away,Home_Streak,Away_Streak,Home_Win_Percentage,Away_Win_Percentage
saturday jul 27,W,TOR,TBR,-2,2,0.3714285714285713,0.5566037735849056
sunday jul 28,L,TOR,TBR,1,-1,0.37735849056603776,0.5514018691588785
monday jul 29,L,KCR,TOR,1,-1,0.37383177570093457,0.37383177570093457
tuesday jul 30,L,KCR,TOR,-1,1,0.3703703703703704,0.3796296296296297
wednesday jul 31,L,KCR,TOR,-2,2,0.3669724770642202,0.3853211009174312
thursday aug 1,L,BAL,TOR,1,3,0.3364485981308411,0.3909090909090909
friday aug 2,L,BAL,TOR,-1,4,0.3333333333333333,0.3963963963963964
saturday aug 3,W,BAL,TOR,-2,5,0.3302752293577982,0.4017857142857143
sunday aug 4,W,BAL,TOR,1,-1,0.3363636363636364,0.3982300884955752
monday aug 5,L,TBR,TOR,6,-2,0.5752212389380531,0.3947368421052632
tuesday aug 6,W,TBR,TOR,-1,1,0.5701754385964912,0.4
wednesday aug 7,L,TBR,TOR,1,-1,0.5739130434782609,0.3965517241379311
thursday aug 8,L,TOR,NYY,1,8,0.4017094017094017,0.6578947368421053
friday aug 9,W,TOR,NYY,-1,9,0.3983050847457627,0.6608695652173913
saturday aug 10,W,TOR,NYY,1,-1,0.4033613445378152,0.6551724137931034
sunday aug 11,L,TOR,NYY,2,-2,0.4083333333333333,0.6495726495726496
monday aug 12,W,TOR,TEX,-1,1,0.4049586776859504,0.5042735042735043
