Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed
Chicago Cubs,CHC,2019,National,Central,162,84,78,0,0.519,7,814,717
Cincinnati Reds,CIN,2019,National,Central,162,75,87,0,0.463,16,701,711
Pittsburgh Pirates,PIT,2019,National,Central,162,69,93,0,0.426,22,758,911
Los Angeles Dodgers,LAD,2019,National,West,162,106,56,0,0.654,-,886,613
Arizona Diamondbacks,ARI,2019,National,West,162,85,77,0,0.525,21,813,743
San Francisco Giants,SFG,2019,National,West,162,77,85,0,0.475,29,678,773
Colorado Rockies,COL,2019,National,West,162,71,91,0,0.438,35,835,958
San Diego Padres,SDP,2019,National,West,162,70,92,0,0.432,36,682,789
New York Yankees,NYY,2019,American,East,162,103,59,0,0.636,-,943,739
Tampa Bay Rays,TBR,2019,American,East,162,96,66,0,0.593,7,769,656
Boston Red Sox,BOS,2019,American,East,162,84,78,0,0.519,19,901,828
Toronto Blue Jays,TOR,2019,American,East,162,67,95,0,0.414,36,726,828
Baltimore Orioles,BAL,2019,American,East,162,54,108,0,0.333,49,729,981
Minnesota Twins,MIN,2019,American,Central,162,101,61,0,0.623,-,939,754
Cleveland Indians,CLE,2019,American,Central,162,93,69,0,0.574,8,769,657
Chicago White Sox,CHW,2019,American,Central,161,72,89,0,0.447,28.5,708,832
Kansas City Royals,KCR,2019,American,Central,162,59,103,0,0.364,42,691,869
Detroit Tigers,DET,2019,American,Central,161,47,114,0,0.292,53.5,582,915
Houston Astros,HOU,2019,American,West,162,107,55,0,0.66,-,920,640
Oakland Athletics,OAK,2019,American,West,162,97,65,0,0.599,10,845,680
Texas Rangers,TEX,2019,American,West,162,78,84,0,0.481,29,810,878
Anaheim Angels,LAA,2019,American,West,162,72,90,0,0.444,35,769,868
Seattle Mariners,SEA,2019,American,West,162,68,94,0,0.42,39,758,893
