Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta,Run Scored Delta,Run Allowed Delta,Run Delta Delta,Run Delta Percent Delta,Win Total Delta,H_AVG,H_OBP,H_SLG,H_BFW,H_O_AVG,H_O_OBP,H_O_SLG,A_AVG,A_OBP,A_SLG,A_BFW,A_O_AVG,A_O_OBP,A_O_SLG
monday aug 19,L,CIN,SDP,0.0,-3,4,-56,60,0.1046999999999999,0,0.244,0.315,0.422,-4.2,0.235,0.31,0.41,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
tuesday aug 20,W,CIN,SDP,-0.008064516129032417,-5,3,-55,58,0.1007,-1,0.244,0.315,0.422,-4.2,0.235,0.31,0.41,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
wednesday aug 21,W,CIN,SDP,0.0,2,4,-56,60,0.1037,0,0.244,0.315,0.422,-4.2,0.235,0.31,0.41,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
friday aug 23,L,SDP,BOS,-0.058877814691768275,0,-176,-57,-119,-0.1857,-9,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.269,0.34,0.466,2.9,0.251,0.33,0.431
saturday aug 24,L,SDP,BOS,-0.0662023016353725,-4,-187,-46,-141,-0.21910000000000007,-10,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.269,0.34,0.466,2.9,0.251,0.33,0.431
sunday aug 25,W,SDP,BOS,-0.07341364503816794,-6,-188,-45,-143,-0.2207,-11,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.269,0.34,0.466,2.9,0.251,0.33,0.431
friday sep 6,L,SDP,COL,0.041991938364202286,6,-128,-176,48,0.035799999999999936,5,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001
saturday sep 7,W,SDP,COL,0.03460764587525145,-5,-129,-175,46,0.03330000000000012,4,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001
sunday sep 8,W,SDP,COL,0.0414124882209988,2,-126,-178,52,0.04080000000000007,5,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001
friday sep 13,W,COL,SDP,-0.043984717174540985,0,116,169,-53,-0.04149999999999998,-6,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
saturday sep 14,W,COL,SDP,-0.0369093583379298,3,118,167,-49,-0.03650000000000009,-5,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
sunday sep 15,W,COL,SDP,-0.02992925811717761,5,119,166,-47,-0.03400000000000003,-4,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
friday apr 5,W,PHI,MIN,0.0,-4,15,7,8,0.17269999999999985,0,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.27,0.338,0.494,7.3,0.257,0.316,0.419
saturday apr 6,L,PHI,MIN,0.16666666666666674,2,21,1,20,0.7646,1,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.27,0.338,0.494,7.3,0.257,0.316,0.419
sunday apr 7,W,PHI,MIN,0.0,-2,17,5,12,0.3345,0,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.27,0.338,0.494,7.3,0.257,0.316,0.419
thursday apr 18,W,COL,PHI,-0.3137254901960785,1,-43,-3,-40,-0.4804999999999999,-5,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
friday apr 19,W,COL,PHI,-0.24269005847953226,5,-39,-7,-32,-0.3691,-4,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
saturday apr 20,L,COL,PHI,-0.17894736842105266,7,-38,-8,-30,-0.33320000000000005,-3,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
sunday apr 21,W,COL,PHI,-0.2190476190476191,-2,-41,-5,-36,-0.3710999999999999,-4,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
tuesday apr 30,L,PHI,DET,0.10989010989010978,7,54,17,37,0.3087,4,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.24,0.294,0.388,-21.1,0.275,0.342,0.478
wednesday may 1,W,PHI,DET,0.07024265644955296,-2,52,19,33,0.2721999999999999,3,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453,0.24,0.294,0.388,-21.1,0.275,0.342,0.478
friday may 10,W,KCR,PHI,-0.24122807017543865,-3,-8,35,-43,-0.26,-8,0.247,0.309,0.401,-10.1,0.273,0.348,0.456,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
