Gm#,Home_Game,Date,Tm,Opp,R,RA
119,0,Sunday Aug 11,OAK,CHW,2,0
120,0,Tuesday Aug 13,OAK,SFG,2,3
121,0,Wednesday Aug 14,OAK,SFG,9,5
122,1,Thursday Aug 15,OAK,HOU,7,6
123,1,Friday Aug 16,OAK,HOU,3,2
124,1,Saturday Aug 17,OAK,HOU,8,4
125,1,Sunday Aug 18,OAK,HOU,1,4
126,1,Tuesday Aug 20,OAK,NYY,6,2
127,1,Wednesday Aug 21,OAK,NYY,6,4
128,1,Thursday Aug 22,OAK,NYY,5,3
129,1,Saturday Aug 24,OAK,SFG,5,10
130,1,Sunday Aug 25,OAK,SFG,4,5
131,0,Monday Aug 26,OAK,KCR,19,4
132,0,Tuesday Aug 27,OAK,KCR,2,1
133,0,Wednesday Aug 28,OAK,KCR,4,6
134,0,Thursday Aug 29,OAK,KCR,9,8
135,0,Friday Aug 30,OAK,NYY,8,2
136,0,Saturday Aug 31,OAK,NYY,3,4
137,0,Sunday Sep 1,OAK,NYY,4,5
138,1,Tuesday Sep 3,OAK,LAA,7,5
139,1,Wednesday Sep 4,OAK,LAA,4,0
140,1,Thursday Sep 5,OAK,LAA,10,6
141,1,Friday Sep 6,OAK,DET,4,5
142,1,Saturday Sep 7,OAK,DET,10,2
143,1,Sunday Sep 8,OAK,DET,3,1
144,0,Monday Sep 9,OAK,HOU,0,15
145,0,Tuesday Sep 10,OAK,HOU,21,7
146,0,Wednesday Sep 11,OAK,HOU,5,3
147,0,Thursday Sep 12,OAK,HOU,3,2
148,0,Friday Sep 13,OAK,TEX,14,9
149,0,Saturday Sep 14,OAK,TEX,8,6
150,0,Sunday Sep 15,OAK,TEX,6,1
151,1,Monday Sep 16,OAK,KCR,5,6
152,1,Tuesday Sep 17,OAK,KCR,2,1
153,1,Wednesday Sep 18,OAK,KCR,1,0
154,1,Friday Sep 20,OAK,TEX,8,0
155,1,Saturday Sep 21,OAK,TEX,12,3
156,1,Sunday Sep 22,OAK,TEX,3,8
157,0,Tuesday Sep 24,OAK,LAA,2,3
158,0,Wednesday Sep 25,OAK,LAA,3,2
159,0,Thursday Sep 26,OAK,SEA,3,1
160,0,Friday Sep 27,OAK,SEA,3,4
161,0,Saturday Sep 28,OAK,SEA,1,0
162,0,Sunday Sep 29,OAK,SEA,1,3
1,1,Thursday Mar 28,TOR,DET,0,2
2,1,Friday Mar 29,TOR,DET,6,0
3,1,Saturday Mar 30,TOR,DET,3,0
4,1,Sunday Mar 31,TOR,DET,3,4
5,1,Monday Apr 1,TOR,BAL,5,6
6,1,Tuesday Apr 2,TOR,BAL,1,2
7,1,Wednesday Apr 3,TOR,BAL,5,3
8,0,Thursday Apr 4,TOR,CLE,1,4
9,0,Friday Apr 5,TOR,CLE,2,3
10,0,Saturday Apr 6,TOR,CLE,2,7
11,0,Sunday Apr 7,TOR,CLE,1,3
12,0,Tuesday Apr 9,TOR,BOS,7,5
13,0,Thursday Apr 11,TOR,BOS,6,7
14,1,Friday Apr 12,TOR,TBR,7,11
15,1,Saturday Apr 13,TOR,TBR,3,1
16,1,Sunday Apr 14,TOR,TBR,4,8
17,0,Monday Apr 15,TOR,MIN,5,3
18,0,Tuesday Apr 16,TOR,MIN,6,5
19,0,Wednesday Apr 17,TOR,MIN,1,4
20,0,Thursday Apr 18,TOR,MIN,7,4
21,0,Friday Apr 19,TOR,OAK,5,1
22,0,Saturday Apr 20,TOR,OAK,10,1
23,0,Sunday Apr 21,TOR,OAK,5,4
24,1,Tuesday Apr 23,TOR,SFG,6,7
25,1,Wednesday Apr 24,TOR,SFG,0,4
26,1,Friday Apr 26,TOR,OAK,4,2
27,1,Saturday Apr 27,TOR,OAK,7,1
28,1,Sunday Apr 28,TOR,OAK,5,4
29,0,Tuesday Apr 30,TOR,LAA,3,4
30,0,Wednesday May 1,TOR,LAA,3,6
31,0,Thursday May 2,TOR,LAA,2,6
32,0,Friday May 3,TOR,TEX,1,0
33,0,Saturday May 4,TOR,TEX,5,8
34,0,Sunday May 5,TOR,TEX,2,10
35,1,Monday May 6,TOR,MIN,0,8
36,1,Tuesday May 7,TOR,MIN,0,3
37,1,Wednesday May 8,TOR,MIN,1,9
38,1,Friday May 10,TOR,CHW,4,3
39,1,Saturday May 11,TOR,CHW,2,7
40,1,Sunday May 12,TOR,CHW,1,5
41,0,Tuesday May 14,TOR,SFG,7,3
42,0,Wednesday May 15,TOR,SFG,3,4
43,0,Thursday May 16,TOR,CHW,2,4
44,0,Friday May 17,TOR,CHW,10,2
45,0,Saturday May 18,TOR,CHW,1,4
46,0,Sunday May 19,TOR,CHW,5,2
47,1,Monday May 20,TOR,BOS,2,12
48,1,Tuesday May 21,TOR,BOS,10,3
49,1,Wednesday May 22,TOR,BOS,5,6
50,1,Thursday May 23,TOR,BOS,2,8
51,1,Friday May 24,TOR,SDP,3,6
52,1,Saturday May 25,TOR,SDP,4,19
53,1,Sunday May 26,TOR,SDP,10,1
54,0,Monday May 27,TOR,TBR,3,8
55,0,Tuesday May 28,TOR,TBR,1,3
