Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed,AVG,OBP,SLG,BFW,O_AVG,O_OBP,O_SLG
Houston Astros,HOU,2016,American,West,162,84,78,0,0.519,11,724,701,0.247,0.319,0.417,1.0,0.256,0.314,0.424
Oakland Athletics,OAK,2016,American,West,162,69,93,0,0.426,26,653,761,0.246,0.304,0.395,-6.9,0.263,0.322,0.422
Anaheim Angels,LAA,2016,American,West,162,74,88,0,0.457,21,717,727,0.26,0.322,0.405,-0.9,0.269,0.334,0.44
Seattle Mariners,SEA,2016,American,West,162,86,76,0,0.531,9,768,707,0.259,0.326,0.43,8.0,0.253,0.314,0.425
Texas Rangers,TEX,2016,American,West,162,95,67,0,0.586,-,765,757,0.262,0.322,0.433,0.1,0.26,0.329,0.424
Atlanta Braves,ATL,2017,National,East,162,72,90,0,0.444,25,732,821,0.263,0.326,0.412,-7.2,0.263,0.339,0.438
Washington Nationals,WSN,2017,National,East,162,97,65,0,0.599,-,819,672,0.266,0.332,0.449,6.5,0.239,0.308,0.396
Philadelphia Phillies,PHI,2017,National,East,162,66,96,0,0.40700000000000003,31,690,782,0.25,0.315,0.409,-6.1,0.265,0.333,0.447
New York Mets,NYM,2017,National,East,162,70,92,0,0.43200000000000005,27,735,863,0.25,0.32,0.434,2.2,0.273,0.345,0.448
Miami Marlins,MIA,2017,National,East,162,77,85,0,0.475,20,778,822,0.267,0.331,0.431,10.0,0.263,0.344,0.432
Milwaukee Brewers,MIL,2017,National,Central,162,86,76,0,0.531,6,732,697,0.249,0.322,0.429,3.2,0.252,0.326,0.414
Chicago Cubs,CHC,2017,National,Central,162,92,70,0,0.568,-,822,695,0.255,0.338,0.437,6.9,0.238,0.315,0.398
St. Louis Cardinals,STL,2017,National,Central,162,83,79,0,0.512,9,761,705,0.256,0.334,0.426,7.9,0.253,0.32,0.411
Pittsburgh Pirates,PIT,2017,National,Central,162,75,87,0,0.46299999999999997,17,668,731,0.244,0.318,0.386,-5.6,0.264,0.33,0.431
Cincinnati Reds,CIN,2017,National,Central,162,68,94,0,0.42,24,753,869,0.253,0.329,0.433,7.0,0.263,0.345,0.465
Los Angeles Dodgers,LAD,2017,National,West,162,104,58,0,0.642,-,770,580,0.249,0.334,0.437,8.6,0.228,0.29,0.38
Colorado Rockies,COL,2017,National,West,162,87,75,0,0.537,17,824,757,0.273,0.338,0.444,1.9,0.264,0.332,0.439
Arizona Diamondbacks,ARI,2017,National,West,162,93,69,0,0.574,11,812,659,0.254,0.329,0.445,4.0,0.24,0.309,0.398
San Francisco Giants,SFG,2017,National,West,162,64,98,0,0.395,40,639,776,0.249,0.309,0.38,-15.4,0.268,0.331,0.438
San Diego Padres,SDP,2017,National,West,162,71,91,0,0.43799999999999994,33,604,816,0.234,0.299,0.393,-8.1,0.259,0.333,0.441
Boston Red Sox,BOS,2017,American,East,162,93,69,0,0.574,-,785,668,0.258,0.329,0.407,-7.1,0.245,0.306,0.406
New York Yankees,NYY,2017,American,East,162,91,71,0,0.562,2,858,660,0.262,0.339,0.447,6.6,0.228,0.298,0.382
Tampa Bay Rays,TBR,2017,American,East,162,80,82,0,0.494,13,694,704,0.245,0.317,0.422,-2.1,0.242,0.309,0.403
Toronto Blue Jays,TOR,2017,American,East,162,76,86,0,0.469,17,693,784,0.24,0.312,0.412,-10.5,0.258,0.326,0.429
Baltimore Orioles,BAL,2017,American,East,162,75,87,0,0.46299999999999997,18,743,841,0.26,0.312,0.435,0.6,0.269,0.342,0.458
Cleveland Indians,CLE,2017,American,Central,162,102,60,0,0.63,-,818,564,0.263,0.339,0.449,9.9,0.236,0.294,0.38
Minnesota Twins,MIN,2017,American,Central,162,85,77,0,0.525,17,815,788,0.26,0.334,0.434,-0.1,0.266,0.33,0.446
Detroit Tigers,DET,2017,American,Central,162,64,98,0,0.395,38,735,894,0.258,0.324,0.424,-5.5,0.282,0.348,0.463
Chicago White Sox,CHW,2017,American,Central,162,67,95,0,0.414,35,706,820,0.256,0.314,0.417,-4.9,0.254,0.337,0.45
Kansas City Royals,KCR,2017,American,Central,162,80,82,0,0.494,22,702,791,0.259,0.311,0.42,-7.5,0.265,0.331,0.434
Houston Astros,HOU,2017,American,West,162,101,61,0,0.623,-,896,700,0.282,0.346,0.478,22.7,0.24,0.313,0.407
Oakland Athletics,OAK,2017,American,West,162,75,87,0,0.46299999999999997,26,739,826,0.246,0.319,0.436,3.8,0.261,0.327,0.439
Anaheim Angels,LAA,2017,American,West,162,80,82,0,0.494,21,710,709,0.243,0.315,0.397,-2.6,0.251,0.314,0.429
Seattle Mariners,SEA,2017,American,West,162,78,84,0,0.48100000000000004,23,750,772,0.259,0.325,0.424,-0.5,0.254,0.318,0.435
Texas Rangers,TEX,2017,American,West,162,78,84,0,0.48100000000000004,23,799,816,0.244,0.32,0.43,-3.3,0.261,0.335,0.434
Atlanta Braves,ATL,2018,National,East,162,90,72,0,0.556,-,759,657,0.257,0.324,0.417,-0.2,0.229,0.314,0.37
Washington Nationals,WSN,2018,National,East,162,82,80,0,0.506,8,771,682,0.254,0.335,0.419,-0.1,0.242,0.311,0.411
Philadelphia Phillies,PHI,2018,National,East,162,80,82,0,0.494,10,677,728,0.234,0.314,0.393,-6.1,0.249,0.316,0.407
New York Mets,NYM,2018,National,East,162,77,85,0,0.475,13,676,707,0.234,0.312,0.389,-4.3,0.246,0.313,0.398
Miami Marlins,MIA,2018,National,East,161,63,98,0,0.391,26.5,589,809,0.237,0.303,0.357,-12.1,0.254,0.333,0.424
Milwaukee Brewers,MIL,2018,National,Central,163,96,67,0,0.589,-,754,659,0.252,0.323,0.424,1.5,0.233,0.309,0.387
Chicago Cubs,CHC,2018,National,Central,163,95,68,0,0.583,1,761,645,0.258,0.333,0.41,5.3,0.24,0.323,0.376
St. Louis Cardinals,STL,2018,National,Central,162,88,74,0,0.5429999999999999,7.5,759,691,0.249,0.321,0.409,2.6,0.246,0.324,0.378
Pittsburgh Pirates,PIT,2018,National,Central,161,82,79,0,0.509,13,692,693,0.254,0.317,0.407,3.9,0.251,0.319,0.407
